TOPIC,TAXONOMY,CLASSIFICATION,GROUP,GROUP_ORDER,SUBGROUP,SUBGROUP_ORDER,ESTIMATE_TYPE,TIME_PERIOD,ESTIMATE
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Education,17,Some college,58,"Percent of population, crude",2024,19.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Education,17,College degree or higher,59,"Percent of population, crude",2019,12.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Education,17,College degree or higher,59,"Percent of population, crude",2020,12.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Education,17,College degree or higher,59,"Percent of population, crude",2021,13.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Education,17,College degree or higher,59,"Percent of population, crude",2022,13.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Education,17,College degree or higher,59,"Percent of population, crude",2023,14.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Education,17,College degree or higher,59,"Percent of population, crude",2024,14.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed,60,"Percent of population, crude",2019,12.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed,60,"Percent of population, crude",2020,13.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed,60,"Percent of population, crude",2021,14.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed,60,"Percent of population, crude",2022,14.9
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed,60,"Percent of population, crude",2023,16.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed,60,"Percent of population, crude",2024,15.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Full-time,61,"Percent of population, crude",2019,12.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Full-time,61,"Percent of population, crude",2020,13.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Full-time,61,"Percent of population, crude",2021,13.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Full-time,61,"Percent of population, crude",2022,14.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Full-time,61,"Percent of population, crude",2023,15.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Full-time,61,"Percent of population, crude",2024,14.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Part-time,62,"Percent of population, crude",2019,14.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Part-time,62,"Percent of population, crude",2020,15.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Part-time,62,"Percent of population, crude",2021,16.9
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Part-time,62,"Percent of population, crude",2022,18.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Part-time,62,"Percent of population, crude",2023,18.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Employed - Part-time,62,"Percent of population, crude",2024,17.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed,63,"Percent of population, crude",2019,22.9
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed,63,"Percent of population, crude",2020,21.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed,63,"Percent of population, crude",2021,22.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed,63,"Percent of population, crude",2022,24.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed,63,"Percent of population, crude",2023,24.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed,63,"Percent of population, crude",2024,23.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has worked previously,64,"Percent of population, crude",2019,23.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has worked previously,64,"Percent of population, crude",2020,22.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has worked previously,64,"Percent of population, crude",2021,22.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has worked previously,64,"Percent of population, crude",2022,24.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has worked previously,64,"Percent of population, crude",2023,24.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has worked previously,64,"Percent of population, crude",2024,23.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has never worked,65,"Percent of population, crude",2019,17.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has never worked,65,"Percent of population, crude",2020,14.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has never worked,65,"Percent of population, crude",2021,15.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has never worked,65,"Percent of population, crude",2022,22.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has never worked,65,"Percent of population, crude",2023,20.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Employment status,18,Not employed - Has never worked,65,"Percent of population, crude",2024,17.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Private,66,"Percent of population, crude",2019,19.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Private,66,"Percent of population, crude",2020,18.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Private,66,"Percent of population, crude",2021,19.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Private,66,"Percent of population, crude",2022,20.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Private,66,"Percent of population, crude",2023,20.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Private,66,"Percent of population, crude",2024,21.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare and Medicaid,67,"Percent of population, crude",2019,35.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare and Medicaid,67,"Percent of population, crude",2020,29.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare and Medicaid,67,"Percent of population, crude",2021,30.9
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare and Medicaid,67,"Percent of population, crude",2022,36.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare and Medicaid,67,"Percent of population, crude",2023,32.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare and Medicaid,67,"Percent of population, crude",2024,34.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare Advantage,68,"Percent of population, crude",2019,21.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare Advantage,68,"Percent of population, crude",2020,22.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare Advantage,68,"Percent of population, crude",2021,21.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare Advantage,68,"Percent of population, crude",2022,23.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare Advantage,68,"Percent of population, crude",2023,23.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare Advantage,68,"Percent of population, crude",2024,22.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare only excluding Medicare Advantage,69,"Percent of population, crude",2019,21.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare only excluding Medicare Advantage,69,"Percent of population, crude",2020,23.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare only excluding Medicare Advantage,69,"Percent of population, crude",2021,22.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare only excluding Medicare Advantage,69,"Percent of population, crude",2022,24.9
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare only excluding Medicare Advantage,69,"Percent of population, crude",2023,20.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Medicare only excluding Medicare Advantage,69,"Percent of population, crude",2024,21.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Other government coverage,70,"Percent of population, crude",2019,24.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Other government coverage,70,"Percent of population, crude",2020,21.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Other government coverage,70,"Percent of population, crude",2021,24.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Other government coverage,70,"Percent of population, crude",2022,22.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Other government coverage,70,"Percent of population, crude",2023,27.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Other government coverage,70,"Percent of population, crude",2024,23.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,19,Uninsured,71,"Percent of population, crude",2020,25.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Private,72,"Percent of population, crude",2019,12.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Private,72,"Percent of population, crude",2020,12.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Private,72,"Percent of population, crude",2021,13.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Private,72,"Percent of population, crude",2022,14.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Private,72,"Percent of population, crude",2023,15.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Private,72,"Percent of population, crude",2024,14.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Medicaid or other state programs,73,"Percent of population, crude",2019,23.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Medicaid or other state programs,73,"Percent of population, crude",2020,24.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Medicaid or other state programs,73,"Percent of population, crude",2021,23.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Medicaid or other state programs,73,"Percent of population, crude",2022,23.9
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Medicaid or other state programs,73,"Percent of population, crude",2023,25.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Medicaid or other state programs,73,"Percent of population, crude",2024,20.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Other government coverage,74,"Percent of population, crude",2019,21.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Other government coverage,74,"Percent of population, crude",2020,23.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Other government coverage,74,"Percent of population, crude",2021,22.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Other government coverage,74,"Percent of population, crude",2022,25.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Other government coverage,74,"Percent of population, crude",2023,24.5
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Other government coverage,74,"Percent of population, crude",2024,25.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Uninsured,75,"Percent of population, crude",2019,16.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Uninsured,75,"Percent of population, crude",2020,17.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Uninsured,75,"Percent of population, crude",2021,17.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Uninsured,75,"Percent of population, crude",2022,17.4
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Uninsured,75,"Percent of population, crude",2023,17.7
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,20,Uninsured,75,"Percent of population, crude",2024,19.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,<100% FPL,76,"Percent of population, crude",2019,24.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,<100% FPL,76,"Percent of population, crude",2020,26.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,<100% FPL,76,"Percent of population, crude",2021,24.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,<100% FPL,76,"Percent of population, crude",2022,27.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,<100% FPL,76,"Percent of population, crude",2023,26.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,<100% FPL,76,"Percent of population, crude",2024,26.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,100% to <200% FPL,77,"Percent of population, crude",2019,20.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,100% to <200% FPL,77,"Percent of population, crude",2020,20.6
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,100% to <200% FPL,77,"Percent of population, crude",2021,21.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,100% to <200% FPL,77,"Percent of population, crude",2022,22.9
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,100% to <200% FPL,77,"Percent of population, crude",2023,23.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,100% to <200% FPL,77,"Percent of population, crude",2024,22.2
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,≥200% FPL,78,"Percent of population, crude",2019,14.0
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,≥200% FPL,78,"Percent of population, crude",2020,14.3
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,≥200% FPL,78,"Percent of population, crude",2021,14.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,≥200% FPL,78,"Percent of population, crude",2022,16.1
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,≥200% FPL,78,"Percent of population, crude",2023,16.8
Any difficulty seeing,Functioning and disability,Socioeconomic Characteristic,Poverty level,21,≥200% FPL,78,"Percent of population, crude",2024,15.8
Any difficulty walking or climbing steps,Functioning and disability,Total,Total,1,18 years and older,1,"Percent of population, crude",2019,18.6
Any difficulty walking or climbing steps,Functioning and disability,Total,Total,1,18 years and older,1,"Percent of population, crude",2020,18.0
Any difficulty walking or climbing steps,Functioning and disability,Total,Total,1,18 years and older,1,"Percent of population, crude",2021,17.5
Any difficulty walking or climbing steps,Functioning and disability,Total,Total,1,18 years and older,1,"Percent of population, crude",2022,18.5
Any difficulty walking or climbing steps,Functioning and disability,Total,Total,1,18 years and older,1,"Percent of population, crude",2023,18.6
Any difficulty walking or climbing steps,Functioning and disability,Total,Total,1,18 years and older,1,"Percent of population, crude",2024,18.2
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2019,5.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2020,4.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2021,4.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2022,4.9
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2023,5.6
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2024,5.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2019,10.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2020,9.9
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2021,8.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2022,10.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2023,9.6
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2024,8.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2019,23.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2020,23.6
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2021,22.1
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2022,22.7
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2023,22.9
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2024,21.6
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2019,40.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2020,39.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2021,39.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2022,40.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2023,40.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2024,40.7
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2019,6.6
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2020,5.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2021,5.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2022,6.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2023,6.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2024,6.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2019,21.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2020,21.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2021,19.6
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2022,20.1
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2023,20.1
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2024,19.2
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2019,32.7
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2020,32.4
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2021,32.1
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2022,33.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2023,32.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2024,33.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2019,51.4
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2020,49.4
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2021,50.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2022,52.1
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2023,51.6
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2024,50.1
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2019,77.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2020,73.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2021,74.2
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2022,72.9
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2023,72.8
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2024,71.2
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2019,12.7
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2020,12.7
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2021,12.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2022,12.9
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2023,13.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2024,12.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2019,45.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2020,43.5
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2021,40.4
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2022,41.4
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2023,41.1
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2024,39.4
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2019,0.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2020,0.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2021,0.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2022,0.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2023,0.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2024,0.0
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2019,16.6
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2020,16.7
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2021,16.3
Any difficulty walking or climbing steps,Functioning and disability,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2022,17.0
